city,Age_Class,Fire_Class,Bi_Class,grid_count
Beijing,1,1,A1-F1,528
Beijing,1,2,A1-F2,18
Beijing,1,3,A1-F3,2
Beijing,2,1,A2-F1,443
Beijing,2,2,A2-F2,26
Beijing,2,3,A2-F3,5
Beijing,3,1,A3-F1,723
Beijing,3,2,A3-F2,48
Beijing,3,3,A3-F3,6
