feature_value,shap_value
18.0,-0.15081987
9.0,-0.17529012
9.0,-0.23787133
16.0,-0.15598588
18.0,-0.2743258
9.0,-0.24981308
12.0,0.105965726
24.0,0.46983123
15.0,-0.06458308
6.0,-0.22315583
12.0,-0.20186831
9.0,-0.20432231
18.0,-0.19756098
18.0,-0.18970263
18.0,-0.22685653
12.0,0.11090158
51.0,0.3574293
18.0,-0.18232667
15.0,-0.09623054
18.0,-0.075049125
15.0,-0.11336363
21.0,0.0134277055
15.0,-0.18034588
21.0,0.011618174
18.0,-0.27672496
9.0,-0.26146764
33.0,0.2746243
9.0,-0.09952351
15.0,-0.15478237
15.0,-0.14632046
12.0,-0.13430028
18.0,-0.14660838
9.0,-0.13603877
9.0,-0.31522754
21.0,-0.0010998505
9.0,-0.1422309
18.0,-0.15145876
15.0,-0.077810116
18.0,-0.14198507
36.0,0.5594421
6.0,-0.14697655
18.0,-0.2000983
60.0,0.389802
9.0,-0.22465421
24.0,0.5159249
18.0,-0.1721753
24.0,0.5672562
18.0,-0.1870476
57.0,0.23933214
24.0,0.41407177
12.0,-0.04041523
18.0,-0.22852427
9.0,-0.1967782
18.0,-0.1566091
15.0,-0.04251797
9.0,-0.19360632
18.0,-0.1473533
18.0,-0.0944124
27.0,0.35381576
6.0,-0.30643523
18.0,-0.16912849
9.0,-0.22447306
15.0,-0.07381101
30.0,0.5089787
12.0,-0.21903704
18.0,-0.1673214
12.0,-0.38913435
9.0,-0.18021649
9.0,0.08574922
18.0,-0.19362545
6.0,-0.30184
18.0,-0.22038928
15.0,-0.10805068
6.0,-0.15277259
18.0,-0.17346136
9.0,-0.31548193
18.0,-0.15808403
9.0,-0.2924531
30.0,0.19358067
9.0,-0.23269
18.0,-0.16775262
6.0,-0.04373409
36.0,0.33002263
9.0,-0.17048033
30.0,0.037569754
18.0,-0.15804546
9.0,-0.28932896
18.0,-0.14495707
18.0,-0.13482739
18.0,-0.088576995
18.0,-0.24089451
18.0,-0.18948428
9.0,-0.1157709
33.0,0.18884213
18.0,-0.22017877
9.0,-0.05061292
15.0,-0.028036255
18.0,-0.30157074
18.0,-0.18731456
9.0,-0.15911992
18.0,-0.19023661
33.0,0.34139204
18.0,-0.14975157
18.0,-0.19692302
24.0,0.42236993
9.0,-0.18918899
18.0,-0.113314725
18.0,-0.18534768
9.0,-0.16926107
18.0,-0.27187392
9.0,-0.26608706
9.0,-0.2004257
54.0,0.21803279
18.0,-0.19378556
6.0,-0.079817586
18.0,-0.18529047
33.0,0.5227633
18.0,-0.3450984
18.0,-0.23905042
18.0,-0.15125501
9.0,-0.24797966
12.0,-0.14893411
18.0,-0.18181871
21.0,-0.056054402
6.0,-0.2005348
18.0,-0.11776133
9.0,-0.118213415
33.0,0.36703625
15.0,-0.109204836
21.0,0.036361754
12.0,-0.20587578
12.0,-0.13969143
12.0,-0.03864251
60.0,0.81222063
18.0,-0.21989809
18.0,-0.17491531
75.0,0.3957518
18.0,-0.19031085
18.0,-0.18910424
9.0,-0.18259521
18.0,-0.26639515
15.0,-0.11327023
9.0,-0.30034852
18.0,-0.17883909
33.0,0.32149345
9.0,-0.34822944
18.0,-0.19201018
18.0,-0.1705937
21.0,0.051662866
24.0,0.605049
18.0,-0.17971541
12.0,-0.17687559
18.0,-0.117532976
9.0,-0.05836306
18.0,-0.18902813
18.0,-0.2030448
39.0,0.7434397
18.0,-0.2003253
90.0,0.9179618
18.0,-0.18466583
18.0,-0.16238558
48.0,0.058408465
18.0,-0.1305574
18.0,-0.1681205
9.0,-0.2505834
24.0,0.19966003
15.0,-0.06206484
18.0,-0.22754468
54.0,0.46132624
9.0,-0.21874332
18.0,-0.15599717
12.0,-0.032263562
9.0,-0.34970355
18.0,-0.14815833
18.0,-0.17608324
9.0,-0.13750713
15.0,-0.19599333
45.0,0.113710515
9.0,-0.20228595
15.0,-0.05031376
42.0,0.36703074
15.0,-0.046117462
15.0,-0.013157466
9.0,-0.2625524
6.0,0.108928375
18.0,-0.17191826
18.0,-0.1607252
9.0,-0.26384425
9.0,-0.29661578
9.0,-0.3280354
30.0,0.3731619
27.0,0.25617352
18.0,-0.24888691
42.0,0.38096172
18.0,-0.20062087
18.0,-0.160522
9.0,-0.2140443
9.0,-0.27322948
15.0,-0.052440297
6.0,-0.18783636
9.0,-0.20313339
18.0,-0.13924766
9.0,-0.12157852
18.0,-0.13486761
18.0,-0.15479176
15.0,-0.09211513
33.0,0.1422431
18.0,-0.1380507
9.0,-0.2969448
18.0,-0.097922824
12.0,-0.20843029
9.0,-0.31757838
9.0,-0.3036268
33.0,0.23176333
18.0,-0.21111563
9.0,-0.2699724
18.0,-0.19483346
