city,Age_Class,Fire_Class,Bi_Class,grid_count
Guangzhou,1,1,A1-F1,328
Guangzhou,1,2,A1-F2,13
Guangzhou,1,3,A1-F3,2
Guangzhou,2,1,A2-F1,279
Guangzhou,2,2,A2-F2,12
Guangzhou,2,3,A2-F3,4
Guangzhou,3,1,A3-F1,294
Guangzhou,3,2,A3-F2,26
Guangzhou,3,3,A3-F3,16
