public_building_id,SHAP_Projected_Area,SHAP_Height,SHAP_Plot_Ratio,SHAP_Effective_Age,SHAP_Mean_Age_Score,SHAP_Pop_Density,SHAP_Price,SHAP_Fee,SHAP_EUI,base_value
SHB_dde0d2feefc58711,0.40019643,-0.29617357,-0.40540677,-0.14615376,0.33587727,-0.17319849,-0.63642395,0.035927728,-0.12735142,-3.9755917
SHB_497748d236e9188d,0.65785366,-0.13467674,0.111905046,-0.053647578,0.05466943,0.58369637,-0.21854109,0.095201194,0.114434734,-3.9755917
SHB_d55aa007df870bfc,0.43893975,-0.21562903,-0.1999628,-0.14320038,-0.014391525,-0.078226306,-0.35031122,0.16159253,-0.009806098,-3.9755917
SHB_f903ce90a7a7ea01,-0.24417683,-0.09587097,-0.046110366,0.028405095,-0.17844002,0.19673723,-0.9581807,0.042742997,-0.23886043,-3.9755917
SHB_94ad255dc662b886,1.0958475,0.14126784,0.24101809,0.020989103,0.30384472,0.3667002,0.31936163,0.08754501,0.17787638,-3.9755917
SHB_608321cbadb1f9a1,-1.2890884,-0.18002853,0.073802225,-0.1916965,-0.39323252,-0.25434175,-0.12344156,-0.19383954,-0.12755758,-3.9755917
SHB_a7ea9633f09e7dca,0.30964553,0.4404599,-0.15439393,-0.095160775,-1.076343,0.16769455,0.14130858,0.089592375,0.15696321,-3.9755917
SHB_d9be8987a85df0e6,-0.26883098,0.37502748,0.101476684,-0.10566351,-0.05327314,0.18455675,-0.0973736,-0.045515522,0.039003637,-3.9755917
SHB_0d10c49abeb3b9b0,0.9952518,0.17068492,0.26145387,0.017856732,0.9200841,0.49146932,0.38648283,0.08273455,0.16366209,-3.9755917
SHB_d7c761307eb11d59,0.23301803,-0.13356583,0.0066321897,-0.054054275,-0.7965994,-0.08763532,-0.13183029,0.032313086,0.16162021,-3.9755917
SHB_78be068cf2e334a7,-0.20201632,0.26814497,-0.02340954,0.06883108,0.2052917,0.13060723,0.07589587,0.123415634,0.016260315,-3.9755917
SHB_83fdcc85f4ef8214,0.66074127,0.40223873,0.14503734,-0.006927986,-0.18401194,-0.72822416,0.1235099,-0.053282466,0.018295586,-3.9755917
SHB_d6ad0402a55d9a39,0.44938457,-0.12077887,-0.23797494,-0.50709254,-0.18506795,-0.8943464,0.24994251,0.048963286,-0.41590634,-3.9755917
SHB_08ef8bece5455bf7,0.1289511,0.19799517,-0.030926747,0.05323832,0.29128522,-0.06449523,-0.0005997922,-0.06425122,0.14302574,-3.9755917
SHB_cc20e39dc460dbcd,0.17457104,-0.14123313,0.051819675,-0.00570794,-0.108998604,-0.0074845552,0.083944604,-0.07349205,0.12565807,-3.9755917
SHB_fe4d1baf170c5ead,0.56626946,-0.20419285,-0.0043031424,0.18458878,0.32381836,-0.31261146,0.03268575,0.090816274,0.07839351,-3.9755917
SHB_6ac94fa3f6b76034,0.7334331,0.40070274,0.3273268,-0.009652178,-0.059239324,0.21986024,0.10337653,-0.14545272,-0.102000356,-3.9755917
SHB_67cbaf0965209311,0.6036416,-0.27655828,-0.3990137,-0.5581809,-0.08390729,-0.15190664,-0.10859998,-0.03815668,-0.032222778,-3.9755917
SHB_250c68ee62e2b503,0.6240207,-0.31645277,-0.08151465,-0.062921174,0.1018053,0.014490086,0.3253085,0.042292207,-0.2868638,-3.9755917
SHB_8f95430115ed85be,0.27017212,-0.040212937,-0.014242279,0.15121876,-0.025540488,0.38206497,-0.17709824,-0.54613,-0.17006627,-3.9755917
SHB_c16d7b48020e2888,-1.2639238,-0.13265616,-0.10550618,-0.16296689,0.06533786,-0.39041045,-0.21308532,-0.507195,-0.04404872,-3.9755917
SHB_d53ae6e4313a6dd0,-2.1412795,-0.32057515,-0.17337126,-0.116387084,-1.0991272,-0.016871966,-0.08408205,-0.19873413,-0.12191945,-3.9755917
SHB_38904d335e9817b1,0.8140465,0.29614562,-0.08373197,-0.03799858,-0.69746315,-1.5087959,0.19835573,-0.12158226,-0.03595907,-3.9755917
SHB_4b07842c6afa44f9,-2.1256094,-0.31750444,-0.09073315,-0.15041538,-1.1537696,0.030378018,-0.0085505005,-0.07131546,-0.10282206,-3.9755917
SHB_53f0c67f3afb345f,-0.09349517,-0.23341134,-0.019310024,-0.029602455,0.27980694,-0.030027011,-0.09384744,-0.11186702,-0.25607914,-3.9755917
SHB_d0fd50c13d466515,-1.9732174,-0.22446008,0.14439148,-0.16316909,0.070892885,-0.03867702,-0.06594391,0.025528414,-0.16573986,-3.9755917
SHB_1e8350d4b37f8a6a,1.0028064,-0.14616545,-0.10013776,0.06363651,0.074462704,0.18095022,0.35554525,0.31806907,0.16556194,-3.9755917
SHB_1713f09b4084834f,0.5262327,-0.13350016,-0.0070420206,-0.07458426,-0.0330483,0.20542608,-0.28313476,-0.13570699,0.14976491,-3.9755917
SHB_1a5e431dbe6d87c9,0.048961457,-0.403819,-0.0010430238,-0.5692537,-0.025683543,0.17977205,0.056745544,0.013089743,-0.26803476,-3.9755917
SHB_0b5c3b27bacdc7ec,-2.4917736,-0.3480875,-0.038061827,-0.17888013,-0.46495077,-0.02067144,0.12796839,-0.10001494,-0.21339104,-3.9755917
SHB_4c2f98cab75f4fe6,-0.12847431,-0.08344814,-0.32263035,-0.09324132,-0.11750325,-0.6816231,-0.44742978,-0.07791168,0.080875,-3.9755917
SHB_d0c2f7d42dcd831b,-1.9237813,-0.15862334,-0.09890563,-0.5543448,-0.28694776,-0.37197104,-0.14082079,-0.41478086,-0.16103376,-3.9755917
SHB_8a07bd045defb90f,0.13073179,0.47565818,0.072582595,0.030945487,-0.17951415,-0.39281872,-0.11556266,-0.19531664,0.027778883,-3.9755917
SHB_b09379b75a35ee94,-2.2607534,-0.3236888,-0.16520484,0.08431277,-1.023615,-0.010983455,-0.16161984,-0.15072176,-0.1279087,-3.9755917
SHB_739e31bac678d705,0.17609379,0.37571523,0.12300369,-0.10116501,-0.12582368,0.42730448,-0.56240225,-0.0136484895,-0.1749177,-3.9755917
SHB_a89517102e909443,-1.0592152,-0.32107607,-0.24809141,0.06897725,-0.29381302,-0.22382563,0.32983994,0.37126416,0.15815984,-3.9755917
SHB_5490830da3143b08,-0.15328425,-0.15744643,-0.045871146,-0.07803481,-0.00606509,0.19015545,-0.71801704,-0.13076748,-0.18449527,-3.9755917
SHB_447646b419cc6156,0.17011683,-0.19125308,-0.07253906,0.09677253,0.26627946,0.21767956,0.012955972,0.055513065,-0.40039983,-3.9755917
SHB_7cbfdae95c256168,0.61688423,0.0869321,0.0589917,-0.075296886,0.18411826,0.0030058923,0.0995403,0.033093136,-0.038933314,-3.9755917
SHB_97009716b131caa1,-1.3600925,-0.22629592,-0.014913857,-0.15159678,-0.385281,-0.036771398,0.11600873,0.06993126,-0.09192624,-3.9755917
SHB_de278a1562f27f03,-1.870369,-0.2004257,0.0959159,-0.1658328,-0.31097642,-0.52761865,-0.0047591627,-0.19047667,-0.2998583,-3.9755917
SHB_605ddd93caa888d0,-1.9889686,0.41834512,0.018699545,-0.23366758,0.012397569,-0.07757781,-0.50550354,-0.04214712,0.14753596,-3.9755917
SHB_b7a8add0e5df6197,0.1254623,-0.12631443,-0.35634625,-0.094231576,-0.23385459,-0.0811387,-0.2878861,-0.109579116,-0.33984205,-3.9755917
SHB_78b93238c3e4b7b5,-1.7932436,-0.09478593,-0.012365911,-0.060580328,-0.42519066,-0.22333774,-0.30150923,-0.07210906,0.011786258,-3.9755917
SHB_4c17d55c1b063667,-0.14303984,-0.10902169,-0.2524354,-0.08830812,-0.31839654,-0.029000895,-0.48906225,-0.11856936,0.09498308,-3.9755917
SHB_60a39ef180b4360d,0.11852807,0.15097316,0.06527796,-0.122725464,-0.51849055,-0.21899006,-0.055387557,-0.18672186,0.0004510635,-3.9755917
SHB_b1cfb82763b22d56,-0.08960332,-0.00037294897,-0.31903315,-0.06163072,-0.2406594,-1.3264186,-0.15713112,-0.07428463,-0.268292,-3.9755917
SHB_3024d8e9a49e3814,-1.4446617,0.02786267,-0.19823097,-0.082655914,-0.4615429,-0.40729448,-0.21340649,0.4162762,0.106900536,-3.9755917
SHB_72baec9c0ff2208b,-1.7804079,-0.14944848,-0.10184468,0.24231485,0.2350316,-0.16553697,-0.08096034,-0.045872133,-0.015404298,-3.9755917
SHB_9107dc5a8217a8d4,-2.0926986,-0.11115788,-0.2755557,-0.023005817,-0.30521443,-0.012299295,-0.060293037,-0.11691095,0.037047356,-3.9755917
SHB_de32ac1c0b62bdb1,-0.11237278,0.35624695,-0.14821371,-0.5836404,0.06786343,-0.013137567,-0.6029566,-0.0054282523,0.045753457,-3.9755917
SHB_d78b770fca4e4a93,-2.1340325,-0.15633853,-0.06665153,-0.09338786,0.100399114,-0.3684876,0.31389782,-0.07977649,0.040266003,-3.9755917
SHB_e498f6f7bdefc94f,-2.3012207,-0.20780906,0.08520256,-0.22312932,-0.3196186,0.34424716,-0.13501611,-0.2051773,-0.1947113,-3.9755917
SHB_23eaa506e12c352d,0.32032242,-0.1725635,0.0065979,-0.1299531,-0.03847916,0.15668388,0.0509573,0.07414502,-0.20525967,-3.9755917
SHB_2d52da36af89ba21,0.41148418,0.21102627,-0.7396748,-0.088561535,0.15096325,-0.036581818,0.063738145,-0.09887731,-0.19794421,-3.9755917
SHB_f15e47534aee6377,0.20343277,-0.24409728,0.035900347,-0.21605101,-0.3083995,0.064602375,-0.8907906,0.024714109,0.06250477,-3.9755917
SHB_c550d90d655bf9ef,-1.877784,-0.25150985,-0.2110122,-0.26706815,-0.6999639,-0.029930636,-0.34955618,0.36465955,-0.0001756284,-3.9755917
SHB_9cee7644b08e6fb9,-1.4248377,-0.35814497,-0.09960042,-0.15639661,-0.9075614,-0.3730499,-0.27903238,-0.15248574,0.011821019,-3.9755917
SHB_97abfd601fbd8206,0.6334081,-0.10493654,0.011974968,0.48903567,0.189235,0.5286113,-0.10367131,0.044066634,0.2027956,-3.9755917
SHB_6e5ee8dae0415423,0.15753756,-0.003030113,-0.21511231,0.41070226,-0.16748644,-0.55976135,0.04962321,0.1868339,0.07871623,-3.9755917
