fpr,tpr,threshold
0.0,0.0,
0.00010194719135487817,0.0,0.43974241614341736
0.0036700988887756144,0.0,0.19431640207767487
0.0036700988887756144,0.005235602094240838,0.19005168974399567
0.0037720460801304923,0.005235602094240838,0.18629077076911926
0.0037720460801304923,0.010471204188481676,0.185414120554924
0.003975940462840249,0.010471204188481676,0.18346907198429108
0.003975940462840249,0.015706806282722512,0.1812884509563446
0.00448567641961464,0.015706806282722512,0.17177291214466095
0.00448567641961464,0.020942408376963352,0.17062635719776154
0.006932409012131715,0.020942408376963352,0.14340771734714508
0.007136303394841472,0.020942408376963352,0.14282235503196716
0.007442144968906107,0.020942408376963352,0.13699665665626526
0.007442144968906107,0.02617801047120419,0.13586261868476868
0.00835966969110001,0.02617801047120419,0.12966038286685944
0.00835966969110001,0.031413612565445025,0.1296413391828537
0.010806402283617086,0.031413612565445025,0.11634618043899536
0.010806402283617086,0.03664921465968586,0.11586085706949234
0.011010296666326842,0.03664921465968586,0.11476705968379974
0.011010296666326842,0.041884816753926704,0.1145542785525322
0.011112243857681722,0.041884816753926704,0.1139674261212349
0.011112243857681722,0.04712041884816754,0.11368387937545776
0.012539504536650016,0.04712041884816754,0.10841134190559387
0.012539504536650016,0.05235602094240838,0.10774067789316177
0.014170659598328066,0.05235602094240838,0.10374997556209564
0.014170659598328066,0.05759162303664921,0.1035144180059433
0.014272606789682944,0.05759162303664921,0.10210920870304108
0.014272606789682944,0.06282722513089005,0.1020275130867958
0.01508818432052197,0.06282722513089005,0.0998757854104042
0.01508818432052197,0.06806282722513089,0.09964609891176224
0.01733102253032929,0.06806282722513089,0.09304191172122955
0.01733102253032929,0.07853403141361257,0.09238060563802719
0.021918646141298806,0.07853403141361257,0.08507586270570755
0.021918646141298806,0.08376963350785341,0.0850541889667511
0.0224283820980732,0.08376963350785341,0.08449079841375351
0.0224283820980732,0.08900523560209424,0.08444368839263916
0.023243959628912222,0.08900523560209424,0.08269830048084259
0.023243959628912222,0.09947643979057591,0.08212752640247345
0.023855642777041493,0.09947643979057591,0.08098136633634567
0.023855642777041493,0.10471204188481675,0.08089902997016907
0.024773167499235395,0.10471204188481675,0.07943371683359146
0.024773167499235395,0.1099476439790576,0.0792023241519928
0.027016005709042716,0.1099476439790576,0.07606258988380432
0.027016005709042716,0.11518324607329843,0.07599344104528427
0.02966663268426955,0.11518324607329843,0.07247750461101532
0.02966663268426955,0.12041884816753927,0.07243163138628006
0.03476399225201346,0.12041884816753927,0.06685950607061386
0.03476399225201346,0.1256544502617801,0.06679161638021469
0.035681516974207364,0.1256544502617801,0.06605303287506104
