precision,recall,threshold
0.0191,1.0,7.789673691149801e-05
0.019101910191019103,1.0,8.569595229346305e-05
0.019103820764152832,1.0,9.329420572612435e-05
0.019105731719515854,1.0,9.800459520192817e-05
0.01910764305722289,1.0,0.00010598840890452266
0.019109554777388696,1.0,0.0001129385782405734
0.019111466880128075,1.0,0.00011306897067697719
0.019113379365555887,1.0,0.00011517769598867744
0.01911529223378703,1.0,0.00011787827679654583
0.019117205484936443,1.0,0.00011920247197849676
0.019119119119119118,1.0,0.00011978689872194082
0.019121033136450097,1.0,0.00012232741573825479
0.019122947537044452,1.0,0.00012550567043945193
0.019124862321017323,1.0,0.00012559066817630082
0.019126777488483876,1.0,0.00013199527165852487
0.01912869303955934,1.0,0.0001332850952167064
0.019130608974358976,1.0,0.00013390024832915515
0.019132525292998095,1.0,0.00013650255277752876
0.019134441995592066,1.0,0.00014054430357646197
0.019136359082256287,1.0,0.00014078746607992798
0.019138276553106213,1.0,0.00014088698662817478
0.01914019440825734,1.0,0.00014171615475788713
0.019142112647825216,1.0,0.0001423471258021891
0.01914403127192543,1.0,0.00014292598643805832
0.019145950280673618,1.0,0.00014323991490527987
0.019147869674185462,1.0,0.00014535593800246716
0.0191497894525767,1.0,0.00014961468696128577
0.0191517096159631,1.0,0.00015141224139370024
0.019153630164460488,1.0,0.00015281335799954832
0.019155551098184734,1.0,0.00015294324839487672
0.019157472417251756,1.0,0.0001531198067823425
0.01915939412177751,1.0,0.00015545051428489387
0.01916131621187801,1.0,0.00015734336921013892
0.01916323868766931,1.0,0.00015855923993512988
0.01916516154926751,1.0,0.00015869081835262477
0.01916708479678876,1.0,0.00015952160174492747
0.019169008430349257,1.0,0.00016242744459304959
0.01917093245006524,1.0,0.00016260534175671637
0.019172856856053,1.0,0.00016267280443571508
0.01917478164842887,1.0,0.0001632388448342681
0.019176706827309237,1.0,0.0001665315794525668
0.01918248468414181,1.0,0.00016720716666895896
0.019184411410204903,1.0,0.00016937038162723184
0.0191863385233551,1.0,0.0001710874930722639
0.01918826602370906,1.0,0.0001714246900519356
