year,month,official_share,weibo_dedup_events,weibo_share
2020,1,0.1051595162421606,96,0.0724528301886792
2020,2,0.0689437092992202,79,0.0596226415094339
2020,3,0.1051110935028422,195,0.1471698113207547
2020,4,0.108817634094304,203,0.1532075471698113
2020,5,0.0954984460702746,121,0.0913207547169811
2020,6,0.0773766027193036,84,0.0633962264150943
2020,7,0.0660515511417495,97,0.0732075471698113
2020,8,0.0685064372896178,94,0.0709433962264151
2020,9,0.0605519018397706,60,0.0452830188679245
2020,10,0.0717727711600034,62,0.0467924528301886
2020,11,0.0823744163592556,152,0.1147169811320754
2020,12,0.0898359202814975,82,0.0618867924528301
