year,province,official_share,weibo_dedup_events,weibo_share
2020,Beijing,0.0104373013567171,16,0.0123743232791956
2020,Tianjin,0.0106397964484121,2,0.0015467904098994
2020,Hebei,0.0667426756938391,89,0.0688321732405259
2020,Shanxi,0.0216405624081068,28,0.0216550657385924
2020,Inner Mongolia,0.026319959853147,3,0.0023201856148491
2020,Liaoning,0.0326163833202738,50,0.0386697602474864
2020,Jilin,0.0206530319971591,23,0.0177880897138437
2020,Heilongjiang,0.0221027794652368,18,0.0139211136890951
2020,Shanghai,0.0154189740835629,82,0.0634184068058778
2020,Jiangsu,0.0793325879166189,121,0.0935808197989172
2020,Zhejiang,0.0661953520039677,113,0.0873936581593194
2020,Anhui,0.0468952219962494,68,0.0525908739365815
2020,Fujian,0.0324168229400526,72,0.0556844547563805
2020,Jiangxi,0.0259267085156522,23,0.0177880897138437
2020,Shandong,0.1188220655086295,111,0.0858468677494199
2020,Henan,0.0576626783937737,47,0.0363495746326372
2020,Hubei,0.0260573031762382,75,0.0580046403712296
2020,Hunan,0.0359707585348746,45,0.0348027842227378
2020,Guangdong,0.0802804997226697,69,0.0533642691415313
2020,Guangxi,0.0200000586942294,13,0.0100541376643464
2020,Hainan,0.0068701595602628,0,0.0
2020,Chongqing,0.0171724641891832,9,0.0069605568445475
2020,Sichuan,0.0428086362689252,84,0.0649651972157772
2020,Guizhou,0.0195554499059424,7,0.0054137664346481
2020,Yunnan,0.0245283184983668,22,0.017014694508894
2020,Tibet,0.0004504782112346,2,0.0015467904098994
2020,Shaanxi,0.031668471514223,51,0.0394431554524361
2020,Gansu,0.0134644562419845,21,0.0162412993039443
2020,Qinghai,0.0023433671118623,0,0.0
2020,Ningxia,0.0081951817907022,10,0.0077339520494972
2020,Xinjiang,0.0168114946779007,19,0.0146945088940448
