city,Age_Class,Fire_Class,Bi_Class,grid_count
Shanghai,1,1,A1-F1,509
Shanghai,1,2,A1-F2,27
Shanghai,1,3,A1-F3,6
Shanghai,2,1,A2-F1,628
Shanghai,2,2,A2-F2,57
Shanghai,2,3,A2-F3,22
Shanghai,3,1,A3-F1,310
Shanghai,3,2,A3-F2,64
Shanghai,3,3,A3-F3,41
