rank,city_name,fire_count,is_four_target_city
1,上海市,448,True
2,杭州市,277,False
3,武汉市,235,True
4,郑州市,215,False
5,西安市,212,False
6,北京市,187,True
7,石家庄市,183,False
8,重庆市,178,False
9,广州市,177,True
10,长沙市,174,False
11,沈阳市,170,False
12,济南市,129,False
13,苏州市,129,False
14,香港特别行政区,127,False
15,合肥市,121,False
16,深圳市,118,False
17,长春市,109,False
18,福州市,102,False
19,南京市,101,False
20,宁波市,95,False
21,昆明市,90,False
22,青岛市,84,False
23,无锡市,84,False
24,成都市,84,False
25,东莞市,78,False
26,太原市,71,False
27,吉林市,70,False
28,大连市,69,False
29,佛山市,65,False
30,哈尔滨市,65,False
31,厦门市,63,False
32,天津市,61,False
33,温州市,60,False
34,抚州市,57,False
35,贵阳市,56,False
36,开封市,56,False
37,沧州市,51,False
38,泉州市,50,False
39,烟台市,50,False
40,常州市,48,False
41,淮安市,46,False
42,保定市,46,False
