City,Feature,Feature_value,SHAP_value,used_in_panels
Beijing,Height,6,-0.2518060803,"a,e"
Wuhan,Height,15,-0.1114708558,"a,e"
Shanghai,Height,54,0.2932367921,"a,e"
Wuhan,Height,15,-0.1617009193,"a,e"
Shanghai,Height,9,-0.4219641685,"a,e"
Shanghai,Height,9,-0.3729246557,"a,e"
Shanghai,Height,18,-0.122749418,"a,e"
Shanghai,Height,9,-0.3235444427,"a,e"
Beijing,Height,9,-0.3156080544,"a,e"
Shanghai,Height,18,-0.1542716622,"a,e"
Wuhan,Height,15,-0.1871448904,"a,e"
Guangzhou,Height,9,-0.4836561084,"a,e"
Shanghai,Height,15,-0.08634509891,"a,e"
Shanghai,Height,18,-0.05058167502,"a,e"
Shanghai,Height,18,-0.0701270625,"a,e"
Shanghai,Height,18,-0.1570597738,"a,e"
Wuhan,Height,21,-0.1111939847,"a,e"
Shanghai,Height,15,-0.06795922667,"a,e"
Guangzhou,Height,30,0.08799913526,"a,e"
Wuhan,Height,12,-0.3792850673,"a,e"
Beijing,Height,18,-0.1228932664,"a,e"
Wuhan,Height,24,0.1047569662,"a,e"
Shanghai,Height,60,0.3714705706,"a,e"
Beijing,Height,9,-0.2802509964,"a,e"
Shanghai,Height,12,-0.2054746747,"a,e"
Beijing,Height,18,-0.2388366312,"a,e"
Beijing,Height,12,-0.2042918503,"a,e"
Wuhan,Height,18,-0.1688351631,"a,e"
Shanghai,Height,9,-0.3514261246,"a,e"
Shanghai,Height,21,-0.09695460647,"a,e"
Shanghai,Height,21,-0.04141793028,"a,e"
Shanghai,Height,18,-0.1607401669,"a,e"
Guangzhou,Height,12,-0.3001032174,"a,e"
Shanghai,Height,12,-0.321018666,"a,e"
Shanghai,Height,33,0.1701030284,"a,e"
Shanghai,Height,18,-0.1994091719,"a,e"
Beijing,Height,15,-0.1753273606,"a,e"
Shanghai,Height,30,0.2775203288,"a,e"
Guangzhou,Height,24,0.2282605767,"a,e"
Guangzhou,Height,9,-0.4226916432,"a,e"
Shanghai,Height,12,-0.1235586107,"a,e"
Shanghai,Height,9,-0.3528284729,"a,e"
Shanghai,Height,18,-0.1672958136,"a,e"
Shanghai,Height,9,-0.3087521791,"a,e"
Shanghai,Height,18,-0.1996307522,"a,e"
Guangzhou,Height,9,-0.3588766158,"a,e"
Shanghai,Height,12,-0.2030704021,"a,e"
Guangzhou,Height,30,0.323960036,"a,e"
Wuhan,Height,9,-0.3290928602,"a,e"
Shanghai,Height,18,-0.1539070606,"a,e"
Shanghai,Height,9,-0.1767969131,"a,e"
Shanghai,Height,6,-0.1925964057,"a,e"
Shanghai,Height,18,-0.07369083911,"a,e"
Shanghai,Height,9,-0.3553807139,"a,e"
Wuhan,Height,48,0.2434322983,"a,e"
Shanghai,Height,15,-0.1560783535,"a,e"
Shanghai,Height,12,-0.3058932126,"a,e"
Wuhan,Height,9,-0.2631843686,"a,e"
Wuhan,Height,21,-0.1150829569,"a,e"
Shanghai,Height,18,-0.1314216703,"a,e"
Shanghai,Height,15,-0.1263484061,"a,e"
Shanghai,Height,18,-0.1663781703,"a,e"
Wuhan,Height,21,-0.02674779296,"a,e"
Guangzhou,Height,48,0.2834927142,"a,e"
Shanghai,Height,18,-0.008056753315,"a,e"
Shanghai,Height,12,-0.1544938684,"a,e"
Shanghai,Height,9,-0.3528898358,"a,e"
Beijing,Height,24,0.07573383301,"a,e"
Shanghai,Height,15,-0.1103211492,"a,e"
Beijing,Height,9,-0.1577184945,"a,e"
Shanghai,Height,18,-0.1736164391,"a,e"
Beijing,Height,18,-0.2268209755,"a,e"
Shanghai,Height,18,-0.11047481,"a,e"
Guangzhou,Height,9,-0.4523716867,"a,e"
Shanghai,Height,36,0.3482934535,"a,e"
Wuhan,Height,24,0.2347903252,"a,e"
Shanghai,Height,30,0.192119658,"a,e"
Shanghai,Height,18,-0.06929330528,"a,e"
Shanghai,Height,18,-0.19278422,"a,e"
Shanghai,Height,18,-0.06201856956,"a,e"
Shanghai,Height,42,0.241704151,"a,e"
Shanghai,Height,12,-0.2338342369,"a,e"
