fpr,tpr,threshold
0.0,0.0,inf
0.0,0.0027247956403269754,0.7451797127723694
0.0,0.02452316076294278,0.5039123892784119
3.1407725672360886e-06,0.02452316076294278,0.4208182692527771
3.1407725672360886e-06,0.02997275204359673,0.38782617449760437
6.281545134472177e-06,0.02997275204359673,0.3636769950389862
6.281545134472177e-06,0.035422343324250684,0.3625613749027252
6.281545134472177e-06,0.04632152588555858,0.29368239641189575
6.281545134472177e-06,0.04904632152588556,0.274041086435318
2.512618053788871e-05,0.04904632152588556,0.19753901660442352
2.512618053788871e-05,0.05449591280653951,0.18306900560855865
3.7689270806833065e-05,0.05449591280653951,0.1604912430047989
3.7689270806833065e-05,0.06267029972752043,0.1581834852695465
9.736394958431875e-05,0.06267029972752043,0.08291483670473099
9.736394958431875e-05,0.0653950953678474,0.08143644779920578
0.00012249013012220747,0.0653950953678474,0.06836044788360596
0.00012249013012220747,0.07084468664850137,0.06486181914806366
0.00016332017349627662,0.07084468664850137,0.05648859590291977
0.00016332017349627662,0.07356948228882834,0.055990900844335556
0.00017274249119798488,0.07356948228882834,0.054249875247478485
0.00017274249119798488,0.07629427792915532,0.052573688328266144
0.00017902403633245705,0.07629427792915532,0.051711440086364746
0.00017902403633245705,0.07901907356948229,0.05165073275566101
0.00021671330713929013,0.07901907356948229,0.048020508140325546
0.0002229948522737623,0.07901907356948229,0.048016879707574844
0.0002983733938874284,0.07901907356948229,0.041285440325737
0.0003046549390219006,0.07901907356948229,0.040716227144002914
0.0003831742532028028,0.07901907356948229,0.03608199954032898
0.0003831742532028028,0.08446866485013624,0.03605009615421295
0.000496242065623302,0.08446866485013624,0.0318470261991024
0.000496242065623302,0.08719346049046321,0.03166764974594116
0.0005433536541318433,0.08719346049046321,0.03048715740442276
0.0005433536541318433,0.08991825613079019,0.030259735882282257
0.0006124506506110373,0.08991825613079019,0.028076384216547012
0.0006124506506110373,0.09264305177111716,0.027904776856303215
0.0007506446435694253,0.09264305177111716,0.024858802556991577
0.0007569261887038973,0.09264305177111716,0.024846477434039116
0.000813460094914147,0.09264305177111716,0.023921947926282883
0.0008197416400486192,0.09264305177111716,0.023835141211748123
0.0008228824126158553,0.09264305177111716,0.023830553516745567
0.0008291639577503275,0.09264305177111716,0.023808926343917847
0.00085114936572098,0.09264305177111716,0.023392733186483383
0.00085114936572098,0.09536784741144415,0.023380577564239502
0.000885697863960577,0.09536784741144415,0.022745806723833084
0.0008919794090950492,0.09536784741144415,0.02269967645406723
0.0009453725427380627,0.09536784741144415,0.021991342306137085
0.0009453725427380627,0.09809264305177112,0.021953506395220757
0.0011181150339360476,0.09809264305177112,0.02008250541985035
0.0011181150339360476,0.1008174386920981,0.02006884478032589
0.001275153662297852,0.1008174386920981,0.018613722175359726
0.001275153662297852,0.10354223433242507,0.01859140954911709
0.0014416146083613647,0.10354223433242507,0.017750835046172142
0.0014416146083613647,0.10626702997275204,0.017746619880199432
0.0014761631066009617,0.10626702997275204,0.01762508414685726
0.0014761631066009617,0.10899182561307902,0.017597554251551628
0.0015641047384835722,0.10899182561307902,0.017046483233571053
0.0015641047384835722,0.11171662125340599,0.01704123616218567
0.0016143570995593496,0.11171662125340599,0.016855262219905853
0.0016143570995593496,0.11444141689373297,0.016854748129844666
0.0016332017349627661,0.11444141689373297,0.016804497689008713
0.0016394832800972383,0.11444141689373297,0.016778409481048584
0.0018467742695348203,0.11444141689373297,0.015849653631448746
0.0018467742695348203,0.11716621253405994,0.015849249437451363
0.001909589720879542,0.11716621253405994,0.0156215475872159
0.001909589720879542,0.11989100817438691,0.015610038302838802
0.0021859777067963176,0.11989100817438691,0.014650453813374043
0.0021859777067963176,0.1226158038147139,0.014613589271903038
0.0023775648333977193,0.1226158038147139,0.01399280596524477
0.0023775648333977193,0.12534059945504086,0.013972597196698189
0.002512618053788871,0.12534059945504086,0.013553074561059475
0.002512618053788871,0.12806539509536785,0.013552953489124775
0.0027858652671384106,0.12806539509536785,0.012967048212885857
0.0027921468122728828,0.12806539509536785,0.01296533364802599
0.0028800884441554935,0.12806539509536785,0.012784379534423351
0.0028863699892899657,0.12806539509536785,0.012760870158672333
0.00304340861765177,0.12806539509536785,0.012445461936295033
0.0030496901627862423,0.12806539509536785,0.012441190890967846
0.003228714199118699,0.12806539509536785,0.012087020091712475
0.003228714199118699,0.1307901907356948,0.012084493413567543
0.0032821073327617125,0.1307901907356948,0.011997285299003124
0.0032883888778961847,0.1307901907356948,0.011997143737971783
0.0033103742858668376,0.1307901907356948,0.011949595995247364
0.00331665583100131,0.1307901907356948,0.011946635320782661
0.00338889360004774,0.1307901907356948,0.011834581382572651
0.00338889360004774,0.1335149863760218,0.011830996721982956
0.003429723643421809,0.1335149863760218,0.011767883785068989
0.003436005188556281,0.1335149863760218,0.011766576208174229
0.004196072149827415,0.1335149863760218,0.010733633302152157
0.004196072149827415,0.1362397820163488,0.010728374123573303
0.004356251550756455,0.1362397820163488,0.010582184419035912
0.004362533095890927,0.1362397820163488,0.010581410489976406
0.004393940821563288,0.1362397820163488,0.0105369184166193
0.004393940821563288,0.13896457765667575,0.010535432025790215
0.004403363139264997,0.13896457765667575,0.010522257536649704
0.004409644684399468,0.13896457765667575,0.01051585003733635
0.004598091038433634,0.13896457765667575,0.010325788520276546
0.00460123181100087,0.14168937329700274,0.010325102135539055
0.004921590612858951,0.14168937329700274,0.010039327666163445
0.004921590612858951,0.1444141689373297,0.010029668919742107
0.004940435248262367,0.1444141689373297,0.010019797831773758
0.00494671679339684,0.1444141689373297,0.010017210617661476
0.005461803494423558,0.1444141689373297,0.00959003996104002
0.005468085039558031,0.1444141689373297,0.009584869258105755
0.005804147704252292,0.1444141689373297,0.009367693215608597
0.0058104292493867645,0.1444141689373297,0.009367144666612148
0.006105661870706956,0.1444141689373297,0.009141047485172749
0.006111943415841429,0.1444141689373297,0.009139885194599628
0.006218729683127456,0.1444141689373297,0.009068627841770649
0.0062250112282619275,0.1444141689373297,0.009062536060810089
0.006281545134472178,0.1444141689373297,0.009031778201460838
0.0062878266796066494,0.1444141689373297,0.009029682725667953
0.00630353054244283,0.1444141689373297,0.009019823744893074
0.006309812087577302,0.1444141689373297,0.009010362438857555
0.00663331166200262,0.1444141689373297,0.008832310326397419
0.006639593207137091,0.1444141689373297,0.008830636739730835
0.007160961453298282,0.1444141689373297,0.008561345748603344
0.007167242998432755,0.1444141689373297,0.008561061695218086
0.00724262154004642,0.1444141689373297,0.008530264720320702
0.007248903085180893,0.1444141689373297,0.008529768325388432
0.0075347133887993765,0.1444141689373297,0.008390254341065884
0.0075347133887993765,0.14713896457765668,0.00838982593268156
0.0076791889268922366,0.14713896457765668,0.008302651345729828
0.0076791889268922366,0.14986376021798364,0.008301249705255032
0.008235105671293024,0.14986376021798364,0.008042042143642902
0.008241387216427497,0.14986376021798364,0.008041752502322197
0.008410988935058246,0.14986376021798364,0.00797953549772501
0.008417270480192718,0.14986376021798364,0.007978938519954681
0.00846438206870126,0.14986376021798364,0.007957465015351772
0.008470663613835732,0.14986376021798364,0.007954672910273075
0.008706221556378438,0.14986376021798364,0.007868803106248379
0.00871250310151291,0.14986376021798364,0.007867102511227131
0.009101958899850186,0.14986376021798364,0.007716718595474958
0.009108240444984657,0.14986376021798364,0.0077156564220786095
0.009205604394568976,0.14986376021798364,0.0076781087554991245
0.009205604394568976,0.15258855585831063,0.007678104564547539
0.009293546026451587,0.15258855585831063,0.00763884698972106
0.009299827571586058,0.15258855585831063,0.0076386164873838425
0.009551089376964946,0.15258855585831063,0.0075580705888569355
0.009557370922099418,0.15258855585831063,0.007556568831205368
0.010565558916182202,0.15258855585831063,0.007259120233356953
0.010565558916182202,0.1553133514986376,0.007258567493408918
0.010728879089678478,0.1553133514986376,0.0072036199271678925
0.010728879089678478,0.15803814713896458,0.007202163338661194
0.010779131450754256,0.15803814713896458,0.007189640775322914
0.010779131450754256,0.16076294277929154,0.007189505267888308
0.011115194115448517,0.16076294277929154,0.007095819804817438
0.01112147566058299,0.16076294277929154,0.007095598615705967
0.011385300556230821,0.16076294277929154,0.007021719124168158
0.011391582101365294,0.16076294277929154,0.007020884659141302
0.012063707430753816,0.16076294277929154,0.0068366508930921555
0.012069988975888289,0.16076294277929154,0.0068364632315933704
0.01253482331583923,0.16076294277929154,0.006713039241731167
0.012541104860973703,0.16076294277929154,0.006709097884595394
0.01259135722204948,0.16076294277929154,0.006695875898003578
0.012597638767183951,0.16076294277929154,0.006695536896586418
0.01260706108488566,0.16076294277929154,0.006693811155855656
0.012613342630020133,0.16076294277929154,0.006693050265312195
0.013244637916034587,0.16076294277929154,0.006546920631080866
0.013244637916034587,0.16348773841961853,0.0065452586859464645
0.013662360667476985,0.16348773841961853,0.006449238862842321
0.013671782985178694,0.16348773841961853,0.006448994856327772
0.01398900101446954,0.16348773841961853,0.00637409882619977
0.013995282559604012,0.16348773841961853,0.006374041549861431
0.014064379556083206,0.16348773841961853,0.006350013893097639
0.014064379556083206,0.16621253405994552,0.006349953822791576
0.01414918041539858,0.16621253405994552,0.0063317385502159595
0.01414918041539858,0.16893732970027248,0.0063305506482720375
0.01434076754199998,0.16893732970027248,0.0062924837693572044
0.014347049087134453,0.16893732970027248,0.006292111240327358
0.01439730144821023,0.16893732970027248,0.0062772417441010475
0.014403582993344703,0.16893732970027248,0.006276076193898916
0.014507228488063495,0.16893732970027248,0.006251506507396698
0.014507228488063495,0.17166212534059946,0.006249968893826008
0.014535495441168618,0.17166212534059946,0.006238115951418877
0.01454177698630309,0.17166212534059946,0.006237534340471029
0.015025455961657448,0.17166212534059946,0.006153426598757505
0.01503173750679192,0.17166212534059946,0.006153044756501913
0.0150474413696281,0.17166212534059946,0.006147031672298908
0.015053722914762573,0.17166212534059946,0.006146740633994341
0.01571642592644939,0.17166212534059946,0.006025389302521944
0.01572270747158386,0.17166212534059946,0.006024729460477829
0.015735270561852803,0.17166212534059946,0.0060244896449148655
0.01582635296630265,0.17166212534059946,0.006011343561112881
0.015832634511437123,0.17166212534059946,0.006011300720274448
0.015942561551290386,0.17166212534059946,0.005995878018438816
0.015942561551290386,0.17438692098092642,0.005995659157633781
0.016071333226547066,0.17438692098092642,0.005979111418128014
