recall,precision
1.0,0.0011513364286610617
1.0,0.0011513400405949322
1.0,0.0011513436525514653
1.0,0.0011513472645306613
1.0,0.0011513508765325202
1.0,0.0011513617126740767
1.0,0.0011513653247665896
1.0,0.0011513725490196079
1.0,0.001151379773363284
1.0,0.0011513869977976194
1.0,0.0011514086716446006
1.0,0.0011514158964415916
1.0,0.0011514195088740875
1.0,0.0011514231213292506
1.0,0.0011514267338070812
1.0,0.0011514411839450823
1.0,0.001151448409150093
1.0,0.0011514520217866017
1.0,0.0011514592471276268
1.0,0.0011514628598321437
1.0,0.0011514664725593303
1.0,0.0011514736980817138
1.0,0.0011514773108769112
1.0,0.0011515026010780825
1.0,0.001151506214054651
1.0,0.001151509827053892
1.0,0.0011515278923901892
1.0,0.0011515315055254686
1.0,0.001151535118683422
1.0,0.0011515387318640493
1.0,0.0011515423450673512
1.0,0.0011515604114239813
1.0,0.0011515640247633332
1.0,0.0011515676381253608
1.0,0.0011515712515100644
1.0,0.0011515820918002334
1.0,0.0011515857052756431
1.0,0.00115158931877373
1.0,0.001151592932294494
1.0,0.001151603772992852
1.0,0.0011516182275748239
1.0,0.0011516362963125673
1.0,0.0011516399101281552
1.0,0.0011516435239664236
1.0,0.0011516543656173118
1.0,0.0011516579795463032
1.0,0.0011516652074723302
1.0,0.0011516688214693663
1.0,0.0011516724354890843
1.0,0.0011516760495314843
1.0,0.0011516796635965669
1.0,0.001151683277684332
1.0,0.001151690505927911
1.0,0.0011516941200837253
1.0,0.001151697734262223
1.0,0.0011517049626872697
1.0,0.001151708576933819
1.0,0.0011517230341468619
1.0,0.001151726648506835
1.0,0.0011517302628894935
1.0,0.0011517374917228674
1.0,0.001151748335143074
1.0,0.0011517519496618495
1.0,0.0011517591787674607
1.0,0.0011517627933542974
1.0,0.0011517664079638214
1.0,0.0011517700225960332
1.0,0.0011517772519285207
1.0,0.0011517989404705115
1.0,0.0011518170148794673
1.0,0.0011518206298293298
1.0,0.0011518314748150636
1.0,0.0011518350898556912
1.0,0.0011518423200050218
1.0,0.0011518459351137253
1.0,0.001151849550245121
1.0,0.0011518603957754658
1.0,0.0011518640109976334
1.0,0.0011518676262424947
1.0,0.0011518784721132418
1.0,0.0011518820874488794
1.0,0.0011518857028072114
1.0,0.0011518929335919599
1.0,0.001151896549018377
1.0,0.0011519073954338013
1.0,0.0011519110109510014
1.0,0.0011519146264908978
1.0,0.0011519182420534904
1.0,0.0011519218576387799
1.0,0.0011519327045308306
1.0,0.001151936320206909
1.0,0.0011519399359056852
1.0,0.0011519507831382026
1.0,0.001151954398927772
1.0,0.0011519580147400404
1.0,0.0011519616305750077
1.0,0.0011519652464326744
1.0,0.0011519688623130404
1.0,0.0011519724782161063
1.0,0.001151983326061504
1.0,0.0011519869420553708
1.0,0.0011519977901731763
1.0,0.0011520086384952946
1.0,0.0011520194870217313
1.0,0.0011520231032426155
1.0,0.0011520267194862024
1.0,0.0011520303357524925
1.0,0.0011520339520414858
1.0,0.0011520411846875833
1.0,0.0011520448010446881
1.0,0.0011520520338270102
