Risk_Grade,n,n_sif,incidence,incidence_ci_low,incidence_ci_high,event_capture_share
L1,159380,52,0.0003262642740619902,0.000248830728457215,0.0004277840264240485,0.14168937329700274
L2,79690,97,0.0012172167147697327,0.000997990465038283,0.0014845283243580408,0.26430517711171664
L3,47814,89,0.001861379512276739,0.0015129938002735829,0.0022898014174338203,0.24250681198910082
L4,23907,56,0.00234241017275275,0.0018044331068289717,0.003040292204080581,0.15258855585831063
L5,7969,73,0.009160496925586648,0.0072924279099236345,0.011501556592918589,0.1989100817438692
