metric,class,range_low,range_high,thresholds
Building_Age,1,0.0,15.857142857142858,"[15.859126984126984, 23.978327228327228]"
Building_Age,2,15.86111111111111,23.978021978021975,"[15.859126984126984, 23.978327228327228]"
Building_Age,3,23.97863247863248,120.0,"[15.859126984126984, 23.978327228327228]"
Fire_Density,1,0.0,0.0,[1.0000017447096337]
Fire_Density,2,1.0,1.0,[1.0000017447096337]
Fire_Density,3,1.000003489419267,18.0,[1.0000017447096337]
