risk_grade,observations,positive_rows,incidence_per_1000_observations,wilson_lower_per_1000,wilson_upper_per_1000,relative_to_overall_incidence
L1,16064,6,0.37350597609561753,0.17119202527109129,0.8147187992346924,0.28476937321137985
L2,14048,20,1.4236902050113895,0.9218452302088295,2.1981343788105803,1.085453495460233
L3,10660,11,1.0318949343339587,0.5763077199044784,1.8469708819467456,0.7867399519065613
L4,8310,18,2.1660649819494586,1.3706226490825597,3.421561447527045,1.6514567549702548
L5,5050,16,3.1683168316831685,1.951206592012107,5.140717266845481,2.4155961511644124
